"Model","Variable","Estimate","Standard Error","DF","t-value","p-value","Adjusted p-value"
"","Age",10.5752,7.4948,205.8691,1.411,0.1598,2.556
"","Time",1.0089,2.393,462.4628,0.4216,0.6735,10.7763
"","YEARDOI",-12.8169,5.9668,221.563,-2.148,0.0328,0.5247
"","Time*YEARDOI",6.9705,4.3331,465.3825,1.6087,0.1084,1.7338
"Male: Paraplegia: AIS C","Intercept",142.4763,3.306,292.3927,43.0957,0,0
"","Age",-1.5319,4.9647,256.1009,-0.3086,0.7579,12.1265
"","Time",0.0887,2.7854,577.5573,0.0318,0.9746,15.5937
"","YEARDOI",-0.6472,4.3366,314.0607,-0.1492,0.8815,14.1034
"","Time*YEARDOI",12.542,4.6611,578.3521,2.6908,0.0073,0.1173
"Male: Paraplegia: AIS D","Intercept",156.1308,2.225,386.9591,70.1706,0,0
"","Age",-8.5967,3.3621,356.6698,-2.5569,0.011,0.1756
"","Time",-1.0469,1.9296,590.7946,-0.5426,0.5876,9.4022
"","YEARDOI",-2.2411,2.7224,409.8514,-0.8232,0.4109,6.5738
"","Time*YEARDOI",8.2354,3.2855,616.0111,2.5066,0.0124,0.1992
"Male: Tetraplegia: AIS A","Intercept",37.6359,3.1201,693.5112,12.0624,0,0
"","Age",21.6554,4.8253,624.2553,4.4879,0,1e-04
"","Time",19.3442,2.767,1415.7683,6.9911,0,0
"","YEARDOI",1.7678,4.2698,745.3857,0.414,0.679,10.8635
"","Time*YEARDOI",-5.4957,4.9187,1441.3941,-1.1173,0.2641,4.2249
"Male: Tetraplegia: AIS B","Intercept",96.4112,6.2518,250.8799,15.4214,0,0
"","Age",2.4325,10.1651,226.524,0.2393,0.8111,12.9774
"","Time",13.3997,5.8468,536.9791,2.2918,0.0223,0.3569
"","YEARDOI",-6.2588,8.705,267.1896,-0.719,0.4728,7.5644
"","Time*YEARDOI",14.19,10.6884,543.1346,1.3276,0.1849,2.9578
"Male: Tetraplegia: AIS C","Intercept",117.3615,4.9918,446.0582,23.5108,0,0
"","Age",-5.4033,6.7685,402.4696,-0.7983,0.4252,6.8027
"","Time",6.6674,4.466,895.4715,1.4929,0.1358,2.173
"","YEARDOI",-4.5528,5.8989,490.2933,-0.7718,0.4406,7.0496
"","Time*YEARDOI",19.8819,7.5652,913.7053,2.6281,0.0087,0.1397
"Male: Tetraplegia: AIS D","Intercept",133.6386,3.3815,792.1245,39.5206,0,0
"","Age",7.1139,4.9036,728.3392,1.4508,0.1473,2.3564
"","Time",6.9964,3.1584,1437.1643,2.2152,0.0269,0.4304
"","YEARDOI",-2.7257,4.0018,868.166,-0.6811,0.496,7.9357
"","Time*YEARDOI",-4.0034,5.3317,1476.8374,-0.7509,0.4529,7.2456
