"Model","n","Variable","Estimate","Standard Error","DF","t-value","p-value","Adjusted p-value"
"Male: Paraplegia: AIS A",868,"Intercept",45.7632,1.2353,1282.2897,37.0462,0,0
"",868,"Age",-23.5616,2.0504,836.4932,-11.4911,0,0
"",868,"Time",41.9199,2.0263,2238.6037,20.6875,0,0
"",868,"YEARDOI",-8.4341,1.7786,1595.0748,-4.7421,0,0
"",868,"Time*YEARDOI",0.4159,3.5569,2288.4175,0.1169,0.9069,14.5109
"Male: Paraplegia: AIS B",207,"Intercept",49.1016,3.0651,267.1711,16.0195,0,0
"",207,"Age",-25.4631,4.5502,182.8127,-5.5961,0,0
"",207,"Time",42.7695,4.3031,488.7686,9.9393,0,0
"",207,"YEARDOI",-2.3169,4.1189,325.0178,-0.5625,0.5741,9.1864
"",207,"Time*YEARDOI",5.8373,7.6309,504.8037,0.765,0.4447,7.1144
"Male: Paraplegia: AIS C",253,"Intercept",59.1158,3.0914,357.1845,19.1227,0,0
"",253,"Age",-31.1653,4.182,229.9262,-7.4523,0,0
"",253,"Time",41.9156,4.7206,592.9552,8.8793,0,0
"",253,"YEARDOI",-6.327,4.11,420.5686,-1.5394,0.1245,1.9913
"",253,"Time*YEARDOI",7.2213,7.7207,595.5248,0.9353,0.35,5.6
"Male: Paraplegia: AIS D",344,"Intercept",81.4695,3.0286,430.4364,26.8999,0,0
"",344,"Age",-33.3152,4.2586,301.2274,-7.823,0,0
"",344,"Time",35.2367,4.5615,638.3168,7.7247,0,0
"",344,"YEARDOI",-16.9566,3.7854,499.6627,-4.4795,0,1e-04
"",344,"Time*YEARDOI",13.7827,7.5632,674.7419,1.8224,0.0688,1.1015
"Male: Tetraplegia: AIS A",621,"Intercept",16.4296,1.4763,731.3908,11.1288,0,0
"",621,"Age",-10.7568,2.2569,612.141,-4.7661,0,0
"",621,"Time",26.8046,1.6558,1390.6281,16.188,0,0
"",621,"YEARDOI",-0.3324,2.0491,812.7465,-0.1622,0.8712,13.9387
"",621,"Time*YEARDOI",-2.3035,2.9187,1418.3103,-0.7892,0.4301,6.8818
"Male: Tetraplegia: AIS B",221,"Intercept",20.2227,2.809,304.9069,7.1991,0,0
"",221,"Age",-18.6347,4.2402,240.9053,-4.3948,0,3e-04
"",221,"Time",36.7496,3.8865,549.905,9.4558,0,0
"",221,"YEARDOI",1.6974,3.9312,343.5535,0.4318,0.6662,10.6588
"",221,"Time*YEARDOI",1.4424,6.8811,560.151,0.2096,0.834,13.3447
"Male: Tetraplegia: AIS C",394,"Intercept",42.876,2.8354,514.055,15.1215,0,0
"",394,"Age",-40.3783,3.7066,414.7009,-10.8935,0,0
"",394,"Time",45.8594,3.5515,934.2572,12.9127,0,0
"",394,"YEARDOI",-6.9502,3.4142,613.3207,-2.0357,0.0422,0.6754
"",394,"Time*YEARDOI",-2.2917,5.886,961.9846,-0.3894,0.6971,11.1536
"Male: Tetraplegia: AIS D",700,"Intercept",67.5447,2.8506,834.6889,23.6953,0,0
"",700,"Age",-39.4605,4.0455,675.97,-9.7541,0,0
"",700,"Time",52.5898,3.7712,1451.5614,13.9453,0,0
"",700,"YEARDOI",-7.2478,3.4647,994.6684,-2.0919,0.0367,0.5872
"",700,"Time*YEARDOI",4.5233,6.3005,1502.5281,0.7179,0.4729,7.5666
