"Model","Variable","Estimate","Standard Error","DF","t-value","p-value","Adjusted p-value"
"","Age",-6.6612,1.7921,324.1522,-3.717,2e-04,0.0038
"","Time",7.8229,1.3244,596.9293,5.9067,0,0
"","YEARDOI",0.674,1.4788,419.4344,0.4558,0.6488,10.3808
"","Time*YEARDOI",1.7026,2.2378,635.148,0.7609,0.447,7.1524
"Male: Tetraplegia: AIS A","Intercept",13.3658,2.0566,651.3502,6.4989,0,0
"","Age",9.8757,3.2285,620.6954,3.0589,0.0023,0.0371
"","Time",10.1899,1.2704,1360.0886,8.0208,0,0
"","YEARDOI",6.5674,2.7887,676.2166,2.355,0.0188,0.3009
"","Time*YEARDOI",2.2526,2.2686,1373.2205,0.9929,0.3209,5.1347
"Male: Tetraplegia: AIS B","Intercept",21.9322,3.592,270.6075,6.1059,0,0
"","Age",-8.972,5.6979,233.3168,-1.5746,0.1167,1.8672
"","Time",27.8555,3.8919,555.236,7.1574,0,0
"","YEARDOI",8.1235,5.0225,292.8089,1.6174,0.1069,1.7098
"","Time*YEARDOI",0.4003,7.0557,563.6355,0.0567,0.9548,15.2765
"Male: Tetraplegia: AIS C","Intercept",48.4818,2.9401,512.6151,16.4897,0,0
"","Age",-17.7417,3.9272,436.9094,-4.5177,0,1e-04
"","Time",32.6228,3.2561,958.3559,10.019,0,0
"","YEARDOI",-0.3921,3.5217,589.193,-0.1113,0.9114,14.5821
"","Time*YEARDOI",10.7585,5.5096,983.0473,1.9527,0.0511,0.8183
"Male: Tetraplegia: AIS D","Intercept",77.0763,1.5891,793.6519,48.5023,0,0
"","Age",-8.0262,2.2876,706.9306,-3.5085,5e-04,0.0077
"","Time",22.7723,1.7041,1460.1516,13.3632,0,0
"","YEARDOI",3.8465,1.8906,902.8878,2.0345,0.0422,0.675
"","Time*YEARDOI",-5.2177,2.8552,1500.0833,-1.8274,0.0678,1.0854
