"Model","n","Variable","Estimate","Standard Error","DF","t-value","p-value","Adjusted p-value"
"Male: Paraplegia: AIS D",344,"Intercept",14.2631,0.9931,395.9616,14.3627,0,0
"",344,"Age",-8.0538,1.4356,299.5813,-5.6101,0,0
"",344,"Time",10.4795,1.3488,586.2549,7.7697,0,0
"",344,"YEARDOI",-4.2766,1.2371,461.493,-3.457,6e-04,0.0095
"",344,"Time*YEARDOI",2.9568,2.2565,632.9221,1.3103,0.1906,3.0489
"Male: Tetraplegia: AIS A",630,"Intercept",0.0637,0.1797,843.7988,0.3543,0.7232,11.5713
"",630,"Age",0.1129,0.2654,650.3894,0.4254,0.6707,10.7313
"",630,"Time",0.228,0.2452,1523.835,0.9301,0.3525,5.6398
"",630,"YEARDOI",-0.1436,0.2509,980.5873,-0.5724,0.5672,9.0752
"",630,"Time*YEARDOI",1.1111,0.428,1561.9154,2.5959,0.0095,0.1524
"Male: Tetraplegia: AIS B",222,"Intercept",0.4787,0.5897,363.7647,0.8118,0.4174,6.6787
"",222,"Age",-1.3363,0.8814,273.0018,-1.5161,0.1306,2.0903
"",222,"Time",5.3605,0.9121,606.0601,5.8771,0,0
"",222,"YEARDOI",-0.1439,0.8358,419.1675,-0.1722,0.8633,13.8135
"",222,"Time*YEARDOI",-2.4316,1.6276,618.2799,-1.494,0.1357,2.1711
"Male: Tetraplegia: AIS C",402,"Intercept",5.4734,0.7633,551.423,7.1709,0,0
"",402,"Age",-7.0944,0.996,428.8114,-7.1231,0,0
"",402,"Time",9.9926,1.012,971.6443,9.8744,0,0
"",402,"YEARDOI",-1.1813,0.9279,662.4645,-1.2732,0.2034,3.2545
"",402,"Time*YEARDOI",0.2588,1.6866,1001.5171,0.1535,0.8781,14.0491
"Male: Tetraplegia: AIS D",692,"Intercept",11.9593,0.7857,796.6767,15.2203,0,0
"",692,"Age",-7.21,1.1187,643.6565,-6.4448,0,0
"",692,"Time",12.7615,1.0572,1432.5594,12.0709,0,0
"",692,"YEARDOI",-0.8524,0.9543,952.4569,-0.8932,0.372,5.9518
"",692,"Time*YEARDOI",0.2427,1.7718,1492.8992,0.137,0.8911,14.2574
