"Model","Variable","Estimate","Standard Error","DF","t-value","p-value","Adjusted p-value"
"","Time",10.3869,1.6502,593.4661,6.2942,0,0
"","YEARDOI",0.0685,1.5755,483.9453,0.0435,0.9653,15.4452
"","Time*YEARDOI",-0.2213,2.6376,611.7159,-0.0839,0.9332,14.9305
"Male: Paraplegia: AIS A","Intercept",0.3778,0.2391,1079.2496,1.5799,0.1144,1.8308
"","Age",-0.6306,0.4256,914.7826,-1.4818,0.1387,2.2197
"","Time",0.7614,0.2773,1846.4896,2.7453,0.0061,0.0977
"","YEARDOI",0.4982,0.3339,1204.6711,1.4921,0.1359,2.1748
"","Time*YEARDOI",1.0801,0.4934,1872.3389,2.1892,0.0287,0.4593
"Male: Paraplegia: AIS B","Intercept",1.0418,0.785,385.9769,1.327,0.1853,2.9645
"","Age",-0.2268,1.2919,313.3459,-0.1756,0.8608,13.7721
"","Time",4.2071,1.0229,332.2322,4.1128,0,8e-04
"","YEARDOI",0.5868,1.0507,415.7086,0.5585,0.5768,9.2285
"","Time*YEARDOI",-0.7195,1.8382,356.0453,-0.3914,0.6957,11.1313
"Male: Paraplegia: AIS C","Intercept",2.2929,0.6454,574.1274,3.5527,4e-04,0.0066
"","Age",-3.0477,0.918,438.1848,-3.32,0.001,0.0156
"","Time",5.1079,1.0152,615.9515,5.0316,0,0
"","YEARDOI",-0.4806,0.8755,609.769,-0.5489,0.5832,9.3319
"","Time*YEARDOI",1.2447,1.871,616.2346,0.6653,0.5061,8.098
"Male: Paraplegia: AIS D","Intercept",12.771,0.8441,795.0888,15.13,0,0
"","Age",-8.3166,1.1705,550.5833,-7.1052,0,0
"","Time",8.9612,1.0488,898.5975,8.5444,0,0
"","YEARDOI",-2.7259,1.1058,902.1501,-2.4652,0.0139,0.2221
"","Time*YEARDOI",1.1594,1.7355,981.2778,0.668,0.5043,8.0682
"Male: Tetraplegia: AIS A","Intercept",0.0152,0.0975,767.4884,0.1558,0.8762,14.0199
"","Age",0.2243,0.1455,608.1473,1.5418,0.1236,1.9782
"","Time",-0.1069,0.1445,1195.7787,-0.7398,0.4595,7.3527
"","YEARDOI",-0.1585,0.1348,898.04,-1.1755,0.2401,3.8418
"","Time*YEARDOI",0.7059,0.2525,1236.9287,2.7956,0.0053,0.0842
"Male: Tetraplegia: AIS B","Intercept",-0.0059,0.0269,438.8186,-0.2197,0.8262,13.2191
"","Age",-0.0042,0.0359,219.4139,-0.1171,0.9069,14.5099
"","Time",-0.0231,0.0485,659.1672,-0.4769,0.6336,10.137
"","YEARDOI",0.0208,0.039,506.9227,0.5333,0.594,9.5048
"","Time*YEARDOI",0.0813,0.0851,661.2974,0.9556,0.3396,5.4343
"Male: Tetraplegia: AIS C","Intercept",0.2348,0.2061,824.8848,1.1394,0.2549,4.078
"","Age",-0.0882,0.2575,628.5203,-0.3426,0.732,11.7121
"","Time",0.8515,0.4651,947.7137,1.8306,0.0675,1.0796
"","YEARDOI",-0.1757,0.262,849.7155,-0.6704,0.5028,8.0444
"","Time*YEARDOI",-0.0298,0.7499,947.8537,-0.0397,0.9683,15.4928
"Male: Tetraplegia: AIS D","Intercept",10.3736,0.7131,1304.9911,14.5465,0,0
"","Age",-6.4199,0.9627,977.3544,-6.6689,0,0
"","Time",10.3904,0.8738,1941.1485,11.8914,0,0
"","YEARDOI",-1.0654,0.9117,1533.1326,-1.1686,0.2428,3.8841
"","Time*YEARDOI",0.3526,1.4619,2055.4719,0.2412,0.8094,12.951
