"Model","Variable","Estimate","Standard Error","DF","t-value","p-value","Adjusted p-value"
"Male: Paraplegia: AIS A","Intercept",65.2066,1.5736,916.1491,41.4377,0,0
"","Age",0.409,2.9011,900.0328,0.141,0.8879,14.2067
"","Time",0.3456,0.6012,1997.015,0.5749,0.5654,9.0465
"","YEARDOI",-3.4554,2.1214,933.0581,-1.6288,0.1037,1.659
"","Time*YEARDOI",2.5772,1.0903,2004.8569,2.3638,0.0182,0.291
"Male: Paraplegia: AIS B","Intercept",88.7981,3.7828,215.8448,23.474,0,0
"","Age",-1.5844,6.1117,206.2197,-0.2592,0.7957,12.7314
"","Time",-0.7336,2.0162,464.329,-0.3638,0.7161,11.4583
"","YEARDOI",-14.2042,4.8713,222.9594,-2.9159,0.0039,0.0625
"","Time*YEARDOI",7.0599,3.6508,467.4115,1.9338,0.0537,0.8598
"Male: Paraplegia: AIS C","Intercept",96.4312,2.9102,274.8409,33.1354,0,0
"","Age",-9.2608,4.4165,249.7234,-2.0969,0.037,0.5921
"","Time",-1.6565,2.0446,561.9841,-0.8102,0.4182,6.6906
"","YEARDOI",-7.6606,3.7964,288.6376,-2.0179,0.0445,0.7125
"","Time*YEARDOI",12.2922,3.42,562.3747,3.5942,4e-04,0.0057
"Male: Paraplegia: AIS D","Intercept",108.8993,2.232,382.398,48.7906,0,0
"","Age",-19.0665,3.3803,356.4146,-5.6405,0,0
"","Time",-3.121,1.8037,583.1763,-1.7304,0.0841,1.3455
"","YEARDOI",-7.9932,2.7287,401.957,-2.9293,0.0036,0.0574
"","Time*YEARDOI",11.7691,3.0776,605.8744,3.8242,1e-04,0.0023
"Male: Tetraplegia: AIS A","Intercept",23.0782,1.7562,668.9814,13.1409,0,0
"","Age",7.9746,2.7213,601.383,2.9305,0.0035,0.0562
"","Time",6.7957,1.5486,1389.8216,4.3884,0,2e-04
"","YEARDOI",-0.8771,2.4085,718.8724,-0.3642,0.7159,11.4536
"","Time*YEARDOI",-3.3625,2.7578,1415.5345,-1.2193,0.2229,3.5671
"Male: Tetraplegia: AIS B","Intercept",49.8287,4.5875,255.5896,10.8619,0,0
"","Age",-10.8794,7.4468,229.0988,-1.461,0.1454,2.3264
"","Time",8.4678,4.452,539.5122,1.902,0.0577,0.9232
"","YEARDOI",-13.0738,6.3912,272.8412,-2.0456,0.0418,0.6681
"","Time*YEARDOI",13.1529,8.1378,546.0995,1.6163,0.1066,1.7058
"Male: Tetraplegia: AIS C","Intercept",75.235,4.3739,443.0422,17.201,0,0
"","Age",-16.4969,5.9572,404.9535,-2.7692,0.0059,0.094
"","Time",1.8314,3.6828,892.0402,0.4973,0.6191,9.9057
"","YEARDOI",-16.5176,5.1641,481.6799,-3.1986,0.0015,0.0236
"","Time*YEARDOI",21.7194,6.2449,909.2166,3.478,5e-04,0.0085
"Male: Tetraplegia: AIS D","Intercept",90.6256,3.0835,785.0576,29.3905,0,0
"","Age",-3.9402,4.4856,730.9922,-0.8784,0.38,6.0802
"","Time",4.4693,2.7176,1420.5171,1.6446,0.1003,1.6044
"","YEARDOI",-14.4458,3.6438,851.6891,-3.9645,1e-04,0.0013
"","Time*YEARDOI",3.0278,4.5952,1457.2467,0.6589,0.5101,8.161
