"Model","n","Variable","Estimate","Standard Error","DF","t-value","p-value","Adjusted p-value"
"",636,"Age",3.0065,2.8666,626.4047,1.0488,0.2947,2.3574
"",636,"Time",7.9729,0.7033,1344.4018,11.3365,0,0
"",636,"YEARDOI",5.4395,2.4453,647.1845,2.2245,0.0265,0.2117
"",636,"Time*YEARDOI",0.5195,1.2524,1349.615,0.4148,0.6784,5.4271
"Male: Tetraplegia: AIS B",228,"Intercept",18.1648,2.7785,230.7974,6.5376,0,0
"",228,"Age",-7.1828,4.5279,221.6528,-1.5863,0.1141,0.9127
"",228,"Time",13.0601,1.6255,519.0592,8.0345,0,0
"",228,"YEARDOI",9.6747,3.8268,236.5398,2.5281,0.0121,0.097
"",228,"Time*YEARDOI",-0.4121,2.9527,521.4687,-0.1396,0.8891,7.1126
"Male: Tetraplegia: AIS C",411,"Intercept",30.4046,1.7962,421.5712,16.9273,0,0
"",411,"Age",-15.9337,2.4421,382.7502,-6.5247,0,0
"",411,"Time",15.1726,1.5567,873.7174,9.7466,0,0
"",411,"YEARDOI",-1.6746,2.1132,462.7345,-0.7925,0.4285,3.428
"",411,"Time*YEARDOI",4.8097,2.6318,891.559,1.8275,0.068,0.5436
"Male: Tetraplegia: AIS D",723,"Intercept",36.3198,1.0228,775.28,35.5085,0,0
"",723,"Age",-6.0862,1.4759,695.7511,-4.1237,0,3e-04
"",723,"Time",13.4023,1.0549,1453.0485,12.7044,0,0
"",723,"YEARDOI",2.292,1.2159,869.4732,1.8851,0.0598,0.478
"",723,"Time*YEARDOI",-1.2283,1.768,1490.3953,-0.6947,0.4873,3.8987
